Bridgestone;B250;"Bridgestone B250 165/70 R13 79S   ";646;646
Bridgestone;B250;"Bridgestone B250 185/65 R13 84H   ";692;692
Bridgestone;B250;"Bridgestone B250 205/65 R15 94H   ";1144;1144
Bridgestone;"Blizzak DM-V1";"Bridgestone Blizzak DM-V1 215/65 R16 98R   ";2268;2268
Bridgestone;"Blizzak DM-V1";"Bridgestone Blizzak DM-V1 225/75 R16 104R   ";2500;2500
Bridgestone;"Blizzak DM-V1";"Bridgestone Blizzak DM-V1 235/55 R18 100R   ";3150;3150
Bridgestone;"Blizzak DM-V1";"Bridgestone Blizzak DM-V1 235/55 R18 100R   ";3640;3640
Bridgestone;"Blizzak DM-V1";"Bridgestone Blizzak DM-V1 255/45 R20 101R   ";4999;4999
Bridgestone;"Blizzak DM-V1";"Bridgestone Blizzak DM-V1 275/50 R22 111R   ";5780;5780
Bridgestone;"Blizzak DM-V1";"Bridgestone Blizzak DM-V1 275/60 R18 113R   ";4060;4060
Bridgestone;"Blizzak DM-V1";"Bridgestone Blizzak DM-V1 285/60 R18 116R   ";4349;4349
Bridgestone;"Blizzak DM-V2";"Bridgestone Blizzak DM-V2 225/65 R17 102S   ";2999;2999
Bridgestone;"Blizzak DM-V2";"Bridgestone Blizzak DM-V2 235/55 R19 105T   ";4100;4100
Bridgestone;"Blizzak DM-V2";"Bridgestone Blizzak DM-V2 235/60 R18 107S XL  ";3800;3800
Bridgestone;"Blizzak DM-V2";"Bridgestone Blizzak DM-V2 235/65 R18 106S   ";3999;3999
Bridgestone;"Blizzak LM-30";"Bridgestone Blizzak LM-30 225/55 R16 95H   ";1571;1571
Bridgestone;"Blizzak Revo 2";"Bridgestone Blizzak Revo 2 225/55 R16 95Q   ";1850;1850
Bridgestone;"Blizzak Revo GZ";"Bridgestone Blizzak Revo GZ 185/60 R15 84S   ";1032;1032
Bridgestone;"Blizzak Revo GZ";"Bridgestone Blizzak Revo GZ 185/65 R14 86S   ";990;990
Bridgestone;"Blizzak Revo GZ";"Bridgestone Blizzak Revo GZ 195/60 R15 88S   ";1090;1090
Bridgestone;"Blizzak Revo GZ";"Bridgestone Blizzak Revo GZ 215/55 R17 94S   ";2484;2484
Bridgestone;"Blizzak Revo GZ";"Bridgestone Blizzak Revo GZ 215/60 R16 95S   ";2040;2040
Bridgestone;"Blizzak Revo GZ";"Bridgestone Blizzak Revo GZ 225/50 R17 94S   ";2832;2832
Bridgestone;"Blizzak Revo GZ";"Bridgestone Blizzak Revo GZ 225/60 R16 98S   ";2399;2399
Bridgestone;"Blizzak VRX";"Bridgestone Blizzak VRX 195/65 R15 91S   ";1122;1122
Bridgestone;"Blizzak WS-60";"Bridgestone Blizzak WS-60 225/50 R16 92R   ";606;606
Bridgestone;"Dueler H/L 400";"Bridgestone Dueler H/L 400 235/55 R19 101H   ";4108;4108
Bridgestone;"Dueler H/P Sport";"Bridgestone Dueler H/P Sport 225/55 R18 98V P  ";4148;4148
Bridgestone;"Dueler H/T 840";"Bridgestone Dueler H/T 840 255/70 R15 100S   ";2293;2293
Bridgestone;"Ecopia EP100";"Bridgestone Ecopia EP100 175/65 R15 84H   ";810;810
Bridgestone;"Ecopia EP100";"Bridgestone Ecopia EP100 215/55 R17 94V   ";2060;2060
Bridgestone;"Ice Cruiser 7000";"Bridgestone Ice Cruiser 7000 175/70 R13 82T   ";834;834
Bridgestone;"Ice Cruiser 7000";"Bridgestone Ice Cruiser 7000 185/70 R14 88T   ";954;954
Bridgestone;"Potenza RE 002 Adrenalin";"Bridgestone Potenza RE 002 Adrenalin 205/55 R16 91W   ";1729;2074.8
Bridgestone;"Potenza RE 002 Adrenalin";"Bridgestone Potenza RE 002 Adrenalin 225/55 R17 97W   ";3243;3243
Bridgestone;"Potenza RE 002 Adrenalin";"Bridgestone Potenza RE 002 Adrenalin 235/45 R17 94W   ";2397;2397
Bridgestone;"Potenza RE050A";"Bridgestone Potenza RE050A 235/45 R17 97W   ";1758;1758
Bridgestone;"Potenza RE050A";"Bridgestone Potenza RE050A 275/40 R18 99Y   ";6590;6590
Bridgestone;"Potenza S001";"Bridgestone Potenza S001 205/55 R16 94W   ";1646;1975.2
Bridgestone;"Sporty Style MY-02";"Bridgestone Sporty Style MY-02 205/55 R16 91V   ";1483;1779.6
Bridgestone;"Sporty Style MY-02";"Bridgestone Sporty Style MY-02 215/55 R17 94V   ";2928;2928
